"Object Name","Object Type","Location","Cluster Location","SLA Domain","Protected On","Local Storage (B)","Archival Storage (B)","Local Data Reduction (%)","Archival Data Reduction (%)","Local Storage Growth (B/day)","Archival Storage Growth (B/day)"
"HPEDHPEWSQL002","vSphere VM","207.130.222.6","Local","Gold","2021-12-22 11:06:38","63240982820.0","715944237889.0","82.45","33.87","122159000.0","1099135827.0"
"HPEFILE01","vSphere VM","207.130.222.6","Local","Gold","2021-12-22 11:18:28","5148557028792.0","41055779782495.0","36.52","10.68","3255318016.0","119830640392.0"
"HPEPHPEWFIL002","vSphere VM","207.130.222.6","Local","Gold","2021-12-22 11:28:05","8451797170349.0","30698524895311.0","8.49","15.39","11907440798.0","234782925806.0"
"HPEPHPEWSQL002","vSphere VM","207.130.222.6","Local","Gold","2020-06-08 17:24:14","421710047792.0","6483180373130.0","66.26","60.11","190226548.0"," -4796190917.0"
"HPEPHPEWSQL011","vSphere VM","207.130.222.6","Local","Gold","2021-12-22 11:31:41","472166336682.0","2201020577730.0","82.27","63.62"," -292175262.0","16228228933.0"
"HPEPROD01","vSphere VM","207.130.222.6","Local","Gold","2021-12-22 11:32:37","301212828602.0","6286341620278.0","89.84","90.24"," -493748717.0","11127356740.0"
"HPESQL02","vSphere VM","207.130.222.6","Local","Gold","2021-12-22 11:33:19","68547787494.0","1816569071652.0","82.80","81.20"," -146339898.0","2840836381.0"
"AMHPEDC04","vSphere VM","207.130.222.6","Local","Unprotected","2022-04-28 10:30:19","0.0","0.0","0.00","0.00","0.0","0.0"
"Cisco ISE Test Server","vSphere VM","207.130.222.6","Local","Unprotected","","0.0","0.0","0.00","0.00","0.0","0.0"
"Cisco Prime Collaboration Assurance","vSphere VM","207.130.222.6","Local","Unprotected","2019-04-15 08:26:35","0.0","0.0","0.00","0.00","0.0","0.0"
"Cisco Prime Collaboration Provisioning","vSphere VM","207.130.222.6","Local","Unprotected","2019-04-15 08:26:47","0.0","0.0","0.00","0.00","0.0","0.0"
"HPE Cisco VCS - Control","vSphere VM","207.130.222.6","Local","Unprotected","2019-04-15 08:27:02","0.0","0.0","0.00","0.00","0.0","0.0"
"HPE Cisco VCS - Expressway","vSphere VM","207.130.222.6","Local","Unprotected","2019-04-15 08:27:30","0.0","0.0","0.00","0.00","0.0","0.0"
"HPE-CPI-01-3_8","vSphere VM","207.130.222.6","Local","Unprotected","","0.0","0.0","0.00","0.00","0.0","0.0"
"HPE-CTG-01","vSphere VM","207.130.222.6","Local","Unprotected","","0.0","0.0","0.00","0.00","0.0","0.0"
"HPE-ISE-01","vSphere VM","207.130.222.6","Local","Unprotected","","0.0","0.0","0.00","0.00","0.0","0.0"
"HPE-ISE-02","vSphere VM","207.130.222.6","Local","Unprotected","","0.0","0.0","0.00","0.00","0.0","0.0"
