TSM_Server,Node,Server,Occ_GB,Cost,
AEPTSM01,HAMPAEPWSQL010_SQL,HAMPAEPWSQL010,59449.2,Physical,$2377.96
AEPTSM01,HAMPAEPWSQLCL02_SQL,,48063.36,Physical,$1922.53
AEPTSM01,AEPVCENTER01_DC_AEP_VMW,,18761.03,Physical,$750.44
AEPTSM01,HAMDAEPWSQLV005_SQL,HAMDAEPWSQL007,13633.41,Physical,$545.33
AEPTSM01,HAMPAEPWSQLCL01_SQL,,12524.56,Physical,$500.98
AEPTSM01,PAEP1ADB1_DB2,paep1adb1,11682.86,Physical,$467.31
AEPTSM01,PAEP1NIM2,paep1nim2,9330.66,Physical,$373.22
AEPTSM01,HAMPAEPWSQL011_SQL,HAMPAEPWSQL011,6850.78,Physical,$274.03
AEPTSM01,PAEP1NIM1,paep1nim1,4495.78,Physical,$179.83
AEPTSM01,HAMDAEPWSQL005_SQL,HAMDAEPWSQL005,3389.4,Physical,$135.57
AEPTSM01,HAMPAEPWSCMDP02,HAMPAEPWSCMDP02,2072.42,Physical,$82.89
AEPTSM01,HAMDAEPWSQL007_SQL,HAMDAEPWSQL007,2016.88,Physical,$80.67
AEPTSM01,HAMPAEPWAPP031,HAMPAEPWAPP031,1937.03,Physical,$77.48
AEPTSM01,HAMPAEPWAPP055,HAMPAEPWAPP055,1918.51,Physical,$76.74
AEPTSM01,PAEP1DB_DB2,paep1db2,1512.83,Physical,$60.51
AEPTSM01,QAEP5DB_DB2,qaep5db2,1133.62,Physical,$45.34
AEPTSM01,PAEP1ADB1,paep1adb1,1018.05,Physical,$40.72
AEPTSM01,PAEP2DB_DB2,paep2db2,873.14,Physical,$34.92
AEPTSM01,AEPSRM01,AEPSRM01,837.54,Physical,$33.50
AEPTSM01,PAEP1LOG1,paep1log1,751.46,Physical,$30.05
AEPTSM01,HAMPAEPWSQL002,HAMPAEPWSQL002,736.66,Physical,$29.46
AEPTSM01,HAMPAEPWSQL014_SQL,HAMPAEPWSQL014,728.49,Physical,$29.13
AEPTSM01,HAMDAEPWSQL005,HAMDAEPWSQL005,705.32,Physical,$28.21
AEPTSM01,HAMPAEPWSQL004,HAMPAEPWSQL004,591.43,Physical,$23.65
AEPTSM01,HAMDAEPWSQL006,HAMDAEPWSQL006,490.01,Physical,$19.60
AEPTSM01,HAMPAEPWMDT001,HAMPAEPWMDT001,383.5,Physical,$15.34
AEPTSM01,KYNPAEWTSMPXY01,KYNPAEWTSMPXY01,337.74,Physical,$13.50
AEPTSM01,HAMPAEPWSGV001,HAMPAEPWSGV001,324.63,Physical,$12.98
AEPTSM01,HAMPAEPWNPS001,HAMPAEPWNPS001,313.59,Physical,$12.54
AEPTSM01,QAEP1DB1,qaep1db1,312.87,Physical,$12.51
AEPTSM01,PAEP1WAS3,paep1was3.ham.am.honda.com,304.86,Physical,$12.19
AEPTSM01,QAEP5WAS1,qaep5was1,283.17,Physical,$11.32
AEPTSM01,PAEP1WAS1,paep1was1.ham.am.honda.com,267.84,Physical,$10.71
AEPTSM01,HAMPAEPWSQL001,HAMPAEPWSQL001,264.41,Physical,$10.57
AEPTSM01,PAEP3WAS4,paep3was4,254.49,Physical,$10.17
AEPTSM01,PAEP1WAS2,paep1was2.ham.am.honda.com,250.58,Physical,$10.02
AEPTSM01,PAEP3WAS3,paep3was3,249.12,Physical,$9.96
AEPTSM01,PAEP1WAS4,paep1was4.ham.am.honda.com,241.32,Physical,$9.65
AEPTSM01,HAMDAEPWSQL007,HAMDAEPWSQL007,236.36,Physical,$9.45
AEPTSM01,PAEPAV5DB_DB2,paepav5db1,234.82,Physical,$9.39
AEPTSM01,PAEP3WAS2,paep3was2,233,Physical,$9.32
AEPTSM01,PAEP3WAS1,paep3was1,231.92,Physical,$9.27
AEPTSM01,HAMPAEPWPME001,HAMPAEPWPME001,227.4,Physical,$9.09
AEPTSM01,PAEP5WAS1,paep5was1.ham.am.honda.com,225.82,Physical,$9.03
AEPTSM01,HAMPAEPWSQL011,HAMPAEPWSQL011,205.83,Physical,$8.23
AEPTSM01,PAEP2DB1,paep2db1,205.37,Physical,$8.21
AEPTSM01,QAEP1DB_DB2,qaep1db2,201.26,Physical,$8.05
AEPTSM01,HAMPAEPWSQL014,HAMPAEPWSQL014,197.85,Physical,$7.91
AEPTSM01,HAMPAEPWMSRS002,HAMPAEPWMSRS002,197.39,Physical,$7.89
AEPTSM01,HAMPAEPWDMDC001,HAMPAEPWDMDC001,193.77,Physical,$7.75
AEPTSM01,PAEP5WAS2,paep5was2.ham.am.honda.com,192.69,Physical,$7.70
AEPTSM01,HAMPAEPWDMDC003,HAMPAEPWDMDC003,191.05,Physical,$7.64
AEPTSM01,PAEP5WAS3,paep5was3.ham.am.honda.com,187.79,Physical,$7.51
AEPTSM01,PAEP5WAS4,paep5was4.ham.am.honda.com,186.71,Physical,$7.46
AEPTSM01,QAEP5WAS2,qaep5was2,184.37,Physical,$7.37
AEPTSM01,QAEP1WAS2,qaep1was2.ham.am.honda.com,182.37,Physical,$7.29
AEPTSM01,HAMPAEPWDMDC002_SQL,HAMPAEPWDMDC002,181.21,Physical,$7.24
AEPTSM01,QAEP2DB1,qaep2db1,181.11,Physical,$7.24
AEPTSM01,HAMPAEPWSQL012,HAMPAEPWSQL012,180.22,Physical,$7.20
AEPTSM01,HAMPAEPWDMDC002,HAMPAEPWDMDC002,178.8,Physical,$7.15
AEPTSM01,HAMPAEPWMSRS001,HAMPAEPWMSRS001,176.25,Physical,$7.05
AEPTSM01,HAMPAEPWAPP032,HAMPAEPWAPP032,175.88,Physical,$7.03
AEPTSM01,HAMPAEPWSQL010,HAMPAEPWSQL010,175.12,Physical,$7.00
AEPTSM01,QAEP1WAS1,qaep1was1,175.12,Physical,$7.00
AEPTSM01,HAMPAEPWDMDC004,HAMPAEPWDMDC004,174.43,Physical,$6.97
AEPTSM01,HAMPAEPWAPP034,HAMPAEPWAPP034,170.68,Physical,$6.82
AEPTSM01,HAMPAEPWSQL013,HAMPAEPWSQL013,167.35,Physical,$6.69
AEPTSM01,QAEP1MQ2,qaep1mq2,165.63,Physical,$6.62
AEPTSM01,HAMPAEPWSQL015,HAMPAEPWSQL015,165.14,Physical,$6.60
AEPTSM01,HAMPAEPWAPP048,HAMPAEPWAPP048,164.78,Physical,$6.59
AEPTSM01,HAMPAEPWSQL016,HAMPAEPWSQL016,164.11,Physical,$6.56
AEPTSM01,HAMPAEPWALDC001,HAMPAEPWALDC001,163.96,Physical,$6.55
AEPTSM01,PAEP5DB_DB2,paep5db1,161.11,Physical,$6.44
AEPTSM01,PAEPAV5WAS1,paepav5was1,159.58,Physical,$6.38
AEPTSM01,PAEPAV5WAS2,paepav5was2,156.79,Physical,$6.27
AEPTSM01,PAEP1DB2,paep1db2,154.56,Physical,$6.18
AEPTSM01,HAMPAEPWAPP056,HAMPAEPWAPP056,154.53,Physical,$6.18
AEPTSM01,HAMPAEPWAPP003,HAMPAEPWAPP003,152.23,Physical,$6.08
AEPTSM01,QAEP2MQ1,qaep2mq1,152.1,Physical,$6.08
AEPTSM01,HAMPAEPWAPP006,HAMPAEPWAPP006,149.87,Physical,$5.99
AEPTSM01,HAMPAEPWAPP058,HAMPAEPWAPP058,149.03,Physical,$5.96
AEPTSM01,HAMPAEPWAPP002,HAMPAEPWAPP002,148.85,Physical,$5.95
AEPTSM01,HAMPAEPWAPP051,HAMPAEPWAPP051,148.55,Physical,$5.94
AEPTSM01,HAMPAEPWMSFS001,HAMPAEPWMSFS001,145,Physical,$5.80
AEPTSM01,HAMPAEPWAPP057,HAMPAEPWAPP057,144.34,Physical,$5.77
AEPTSM01,HAMPAEPWDHCP001,HAMPAEPWDHCP001,144.15,Physical,$5.76
AEPTSM01,HAMPAEPWAPP049,HAMPAEPWAPP049,143.05,Physical,$5.72
AEPTSM01,HAMPAEPWAPP011,HAMPAEPWAPP011,142.92,Physical,$5.71
AEPTSM01,HAMPAEPWAPP040,HAMPAEPWAPP040,140.95,Physical,$5.63
AEPTSM01,HAMPAEPWAPP019,HAMPAEPWAPP019,139.83,Physical,$5.59
AEPTSM01,HAMPAEPWAPP001,HAMPAEPWAPP001,139.77,Physical,$5.59
AEPTSM01,PAEP2WAS4,paep2was4,139.02,Physical,$5.56
AEPTSM01,HAMPAEPWAPP017,HAMPAEPWAPP017,138.83,Physical,$5.55
AEPTSM01,HAMPAEPWAPP029,HAMPAEPWAPP029,138.69,Physical,$5.54
AEPTSM01,PAEP2WAS3,paep2was3,138.58,Physical,$5.54
AEPTSM01,HAMPAEPWAPP041,HAMPAEPWAPP041,138.4,Physical,$5.53
AEPTSM01,HAMPAEPWAPP016,HAMPAEPWAPP016,138.32,Physical,$5.53
AEPTSM01,HAMQAEPWAPP001,HAMQAEPWAPP001,138.31,Physical,$5.53
AEPTSM01,HAMPAEPWAPP025,HAMPAEPWAPP025,138.14,Physical,$5.52
AEPTSM01,QAEP3WAS1,qaep3was1,137.86,Physical,$5.51
AEPTSM01,QAEP3WAS2,qaep3was2,137.55,Physical,$5.50
AEPTSM01,HAMPAEPWAPP013,HAMPAEPWAPP013,137.52,Physical,$5.50
