scheduled_start,elap_time,node_name,status.results
2022-07-17 18:00:00,0 00:12:41,D3HNADCWCMMDB01,Completed,8
2022-07-17 18:30:00,0 01:13:41,HNAFTPPS01,Completed,0
2022-07-17 18:30:00,0 00:48:49,HNAPXWCMMAPP01,Completed,0
2022-07-17 18:30:00,0 01:06:35,HNAPXWCMMESS01,Completed,8
2022-07-17 18:30:00,0 01:32:02,HNAPXWCMMSQL01,Completed,8
2022-07-17 18:30:00,0 01:12:13,HNAPXWCMMSQL02,Completed,0
2022-07-17 18:30:00,0 00:36:58,HPTPXWEPIDB01,Completed,0
2022-07-17 18:30:00,0 00:13:42,P1HNADCWCMMDB01,Completed,8
2022-07-17 19:00:00,0 01:07:27,D3HNADCWCMSCS01,Completed,8
2022-07-17 19:00:00,0 00:19:34,D3HNADCWCMSDB01,Completed,8
2022-07-17 19:00:00,0 18:17:12,D3HNADCWCMSFT01,Completed,8
2022-07-17 19:00:00,0 00:23:54,D3HNADCWCMSWB01,Completed,8
2022-07-17 19:00:00,0 01:20:48,HNADXWCMMAPP01,Completed,0
2022-07-17 19:00:00,0 00:51:13,HNADXWCMMESS01,Completed,0
2022-07-17 19:00:00,0 01:00:19,HNADXWCMMSQL01,Completed,0
2022-07-17 19:00:00,0 00:48:28,HPTDXWEPIDB01,Completed,0
2022-07-17 19:00:00,0 01:00:56,HNAQXWCMMAPP01,Completed,0
2022-07-17 19:00:00,0 01:07:29,HNAQXWCMMESS01,Completed,0
2022-07-17 19:00:00,0 00:53:57,HNAQXWCMMSQL01,Completed,0
2022-07-17 19:00:00,0 00:55:36,HNAQXWCMMSQL02,Completed,0
2022-07-17 19:00:00,0 00:16:57,HNAPXWCMMAPO01,Completed,8
2022-07-17 19:00:00,0 00:34:35,HNAPXWCMMDBA01,Completed,8
2022-07-17 19:00:00,0 01:13:16,HNATOR02,Completed,8
2022-07-17 19:00:00,0 00:58:11,HPTTOR01,Completed,8
2022-07-17 19:00:00,0 00:13:02,P1HNADCWCMSFT01,Completed,0
2022-07-17 19:00:00,0 00:14:44,P1HNADCWCMSWB01,Completed,8
2022-07-17 19:00:00,0 00:17:56,P1HNADCWCMSDB01,Completed,8
2022-07-17 19:00:00,0 00:13:23,Q3HNADCWCMMDB01,Completed,8
2022-07-17 19:00:00,0 01:03:25,AHMPXWLBOAPP01,Completed,0
2022-07-17 19:00:00,0 00:59:25,AHMDXWLBOAPP01,Completed,0
2022-07-17 20:00:00,0 00:44:53,AHMPXWMBVWWEB01,Completed,0
2022-07-17 22:00:00,0 01:14:38,HNAPXWLBOSQL01,Completed,0
2022-07-17 22:00:00,0 00:54:08,P1HNADCWCMSCS01,Completed,8
2022-07-18 18:00:00,0 00:12:47,D3HNADCWCMMDB01,Completed,8
2022-07-18 18:30:00,0 01:09:59,HNAFTPPS01,Completed,0
2022-07-18 18:30:00,0 00:46:25,HNAPXWCMMAPP01,Completed,0
2022-07-18 18:30:00,0 00:56:03,HNAPXWCMMESS01,Completed,0
2022-07-18 18:30:00,0 01:17:28,HNAPXWCMMSQL01,Completed,0
2022-07-18 18:30:00,0 01:01:54,HNAPXWCMMSQL02,Completed,0
2022-07-18 18:30:00,0 00:42:41,HPTPXWEPIDB01,Completed,0
2022-07-18 18:30:00,0 00:14:27,P1HNADCWCMMDB01,Completed,8
2022-07-18 19:00:00,0 01:07:13,D3HNADCWCMSCS01,Completed,8
2022-07-18 19:00:00,0 00:21:15,D3HNADCWCMSDB01,Completed,8
2022-07-18 19:00:00,0 05:09:57,D3HNADCWCMSFT01,Completed,8
2022-07-18 19:00:00,0 00:23:04,D3HNADCWCMSWB01,Completed,8
2022-07-18 19:00:00,0 01:17:15,HNADXWCMMAPP01,Completed,0
2022-07-18 19:00:00,0 01:02:55,HNADXWCMMESS01,Completed,0
2022-07-18 19:00:00,0 00:47:02,HNADXWCMMSQL01,Completed,0
2022-07-18 19:00:00,0 00:47:05,HPTDXWEPIDB01,Completed,0
2022-07-18 19:00:00,0 00:55:55,HNAQXWCMMAPP01,Completed,0
2022-07-18 19:00:00,0 01:08:36,HNAQXWCMMESS01,Completed,0
2022-07-18 19:00:00,0 00:53:29,HNAQXWCMMSQL01,Completed,0
2022-07-18 19:00:00,0 01:02:19,HNAQXWCMMSQL02,Completed,0
2022-07-18 19:00:00,0 00:17:07,HNAPXWCMMAPO01,Completed,8
2022-07-18 19:00:00,0 00:32:59,HNAPXWCMMDBA01,Completed,8
2022-07-18 19:00:00,0 01:12:35,HNATOR02,Completed,8
2022-07-18 19:00:00,0 00:55:46,HPTTOR01,Completed,8
2022-07-18 19:00:00,0 00:16:24,P1HNADCWCMSFT01,Completed,0
2022-07-18 19:00:00,0 00:15:54,P1HNADCWCMSWB01,Completed,8
2022-07-18 19:00:00,0 00:18:33,P1HNADCWCMSDB01,Completed,8
2022-07-18 19:00:00,0 00:13:36,Q3HNADCWCMMDB01,Completed,8
2022-07-18 19:00:00,0 01:18:03,AHMPXWLBOAPP01,Completed,0
2022-07-18 19:00:00,0 00:57:07,AHMDXWLBOAPP01,Completed,0
2022-07-18 20:00:00,0 00:39:05,AHMPXWMBVWWEB01,Completed,0
2022-07-18 22:00:00,0 01:14:47,HNAPXWLBOSQL01,Completed,8
2022-07-18 22:00:00,0 00:52:46,P1HNADCWCMSCS01,Completed,8
2022-07-19 18:00:00,0 00:12:52,D3HNADCWCMMDB01,Completed,8
2022-07-19 18:30:00,0 01:13:43,HNAFTPPS01,Completed,0
2022-07-19 18:30:00,0 00:42:38,HNAPXWCMMAPP01,Completed,0
2022-07-19 18:30:00,0 00:49:34,HNAPXWCMMESS01,Completed,0
2022-07-19 18:30:00,0 01:29:19,HNAPXWCMMSQL01,Completed,0
2022-07-19 18:30:00,0 01:08:01,HNAPXWCMMSQL02,Completed,0
2022-07-19 18:30:00,0 00:35:23,HPTPXWEPIDB01,Completed,0
2022-07-19 18:30:00,0 00:15:10,P1HNADCWCMMDB01,Completed,8
2022-07-19 19:00:00,0 01:10:40,D3HNADCWCMSCS01,Completed,8
2022-07-19 19:00:00,0 00:22:24,D3HNADCWCMSDB01,Completed,8
2022-07-19 19:00:00,0 07:43:19,D3HNADCWCMSFT01,Completed,8
2022-07-19 19:00:00,0 00:25:07,D3HNADCWCMSWB01,Completed,8
2022-07-19 19:00:00,0 01:14:27,HNADXWCMMAPP01,Completed,0
2022-07-19 19:00:00,0 01:02:49,HNADXWCMMESS01,Completed,0
2022-07-19 19:00:00,0 00:46:00,HNADXWCMMSQL01,Completed,0
2022-07-19 19:00:00,0 00:46:35,HPTDXWEPIDB01,Completed,0
2022-07-19 19:00:00,0 00:59:19,HNAQXWCMMAPP01,Completed,0
2022-07-19 19:00:00,0 01:07:51,HNAQXWCMMESS01,Completed,0
2022-07-19 19:00:00,0 00:53:20,HNAQXWCMMSQL01,Completed,0
2022-07-19 19:00:00,0 01:03:00,HNAQXWCMMSQL02,Completed,0
2022-07-19 19:00:00,0 00:18:27,HNAPXWCMMAPO01,Completed,8
2022-07-19 19:00:00,0 00:33:55,HNAPXWCMMDBA01,Completed,8
2022-07-19 19:00:00,0 01:08:36,HNATOR02,Completed,8
2022-07-19 19:00:00,0 00:57:56,HPTTOR01,Completed,8
2022-07-19 19:00:00,0 00:20:55,P1HNADCWCMSFT01,Completed,0
2022-07-19 19:00:00,0 00:15:54,P1HNADCWCMSWB01,Completed,8
2022-07-19 19:00:00,0 00:17:25,P1HNADCWCMSDB01,Completed,8
2022-07-19 19:00:00,0 00:13:47,Q3HNADCWCMMDB01,Completed,8
2022-07-19 19:00:00,0 01:01:30,AHMPXWLBOAPP01,Completed,0
2022-07-19 19:00:00,0 00:53:41,AHMDXWLBOAPP01,Completed,0
2022-07-19 20:00:00,0 00:39:39,AHMPXWMBVWWEB01,Completed,0
2022-07-19 22:00:00,0 01:16:25,HNAPXWLBOSQL01,Completed,0
2022-07-19 22:00:00,0 00:52:43,P1HNADCWCMSCS01,Completed,8
2022-07-20 18:00:00,0 00:12:47,D3HNADCWCMMDB01,Completed,8
2022-07-22 18:30:00,0 01:09:14,HNAFTPPS01,Completed,0
2022-07-22 18:30:00,0 00:46:32,HNAPXWCMMAPP01,Completed,0
2022-07-22 18:30:00,0 00:56:36,HNAPXWCMMESS01,Completed,0
2022-07-22 18:30:00,0 01:29:19,HNAPXWCMMSQL01,Completed,0
2022-07-22 18:30:00,0 01:04:11,HNAPXWCMMSQL02,Completed,0
2022-07-22 18:30:00,0 00:41:29,HPTPXWEPIDB01,Completed,0
2022-07-22 18:30:00,0 00:14:22,P1HNADCWCMMDB01,Completed,8
2022-07-22 19:00:00,0 01:05:37,D3HNADCWCMSCS01,Completed,8
2022-07-22 19:00:00,0 00:22:45,D3HNADCWCMSDB01,Completed,8
2022-07-22 19:00:00,0 05:46:09,D3HNADCWCMSFT01,Completed,8
2022-07-22 19:00:00,0 00:24:46,D3HNADCWCMSWB01,Completed,8
2022-07-22 19:00:00,0 01:19:32,HNADXWCMMAPP01,Completed,0
2022-07-22 19:00:00,0 00:49:55,HNADXWCMMESS01,Completed,0
2022-07-22 19:00:00,0 00:58:48,HNADXWCMMSQL01,Completed,0
2022-07-22 19:00:00,0 00:48:06,HPTDXWEPIDB01,Completed,0
2022-07-22 19:00:00,0 00:55:08,HNAQXWCMMAPP01,Completed,0
2022-07-22 19:00:00,0 01:08:04,HNAQXWCMMESS01,Completed,0
2022-07-22 19:00:00,0 00:52:36,HNAQXWCMMSQL01,Completed,0
2022-07-22 19:00:00,0 01:02:53,HNAQXWCMMSQL02,Completed,0
2022-07-22 19:00:00,0 00:17:43,HNAPXWCMMAPO01,Completed,8
2022-07-22 19:00:00,0 00:34:39,HNAPXWCMMDBA01,Completed,8
2022-07-22 19:00:00,0 01:11:53,HNATOR02,Completed,8
2022-07-22 19:00:00,0 00:49:29,HPTTOR01,Completed,8
2022-07-22 19:00:00,0 00:22:40,P1HNADCWCMSFT01,Completed,0
2022-07-22 19:00:00,0 00:15:21,P1HNADCWCMSWB01,Completed,8
2022-07-22 19:00:00,0 00:18:24,P1HNADCWCMSDB01,Completed,8
2022-07-22 19:00:00,0 00:15:42,Q3HNADCWCMMDB01,Completed,8
2022-07-22 19:00:00,0 00:59:46,AHMPXWLBOAPP01,Completed,0
2022-07-22 19:00:00,0 00:54:18,AHMDXWLBOAPP01,Completed,0
2022-07-20 18:30:00,0 01:10:42,HNAFTPPS01,Completed,0
2022-07-20 18:30:00,0 00:42:26,HNAPXWCMMAPP01,Completed,0
2022-07-20 18:30:00,0 00:50:54,HNAPXWCMMESS01,Completed,0
2022-07-20 18:30:00,0 01:31:17,HNAPXWCMMSQL01,Completed,0
2022-07-20 18:30:00,0 01:03:43,HNAPXWCMMSQL02,Completed,0
2022-07-20 18:30:00,0 00:50:15,HPTPXWEPIDB01,Completed,0
2022-07-20 18:30:00,0 00:15:13,P1HNADCWCMMDB01,Completed,8
2022-07-20 19:00:00,0 01:06:57,D3HNADCWCMSCS01,Completed,8
2022-07-20 19:00:00,0 00:20:37,D3HNADCWCMSDB01,Completed,8
2022-07-20 19:00:00,0 05:22:37,D3HNADCWCMSFT01,Completed,8
2022-07-20 19:00:00,0 00:22:32,D3HNADCWCMSWB01,Completed,8
2022-07-20 19:00:00,0 01:13:10,HNADXWCMMAPP01,Completed,0
2022-07-20 19:00:00,0 00:50:42,HNADXWCMMESS01,Completed,0
2022-07-20 19:00:00,0 01:00:00,HNADXWCMMSQL01,Completed,0
2022-07-20 19:00:00,0 00:41:39,HPTDXWEPIDB01,Completed,0
2022-07-20 19:00:00,0 00:59:50,HNAQXWCMMAPP01,Completed,0
2022-07-20 19:00:00,0 01:08:20,HNAQXWCMMESS01,Completed,0
2022-07-20 19:00:00,0 00:53:16,HNAQXWCMMSQL01,Completed,0
2022-07-20 19:00:00,0 01:03:20,HNAQXWCMMSQL02,Completed,0
2022-07-20 19:00:00,0 00:17:33,HNAPXWCMMAPO01,Completed,8
2022-07-20 19:00:00,0 00:34:21,HNAPXWCMMDBA01,Completed,8
2022-07-20 19:00:00,0 01:10:36,HNATOR02,Completed,8
2022-07-20 19:00:00,0 00:58:45,HPTTOR01,Completed,8
2022-07-20 19:00:00,0 00:24:01,P1HNADCWCMSFT01,Completed,0
2022-07-20 19:00:00,0 00:15:32,P1HNADCWCMSWB01,Completed,8
2022-07-20 19:00:00,0 00:19:44,P1HNADCWCMSDB01,Completed,8
2022-07-20 19:00:00,0 00:15:17,Q3HNADCWCMMDB01,Completed,8
2022-07-20 19:00:00,0 01:00:24,AHMPXWLBOAPP01,Completed,0
2022-07-20 19:00:00,0 00:58:12,AHMDXWLBOAPP01,Completed,0
2022-07-20 20:00:00,0 00:39:24,AHMPXWMBVWWEB01,Completed,0
